Model,Superclass,Class
m1206,aircraft,airplane,m1206
m1208,aircraft,airplane,m1208
m1210,aircraft,airplane,m1210
m1212,aircraft,airplane,m1212
m1214,aircraft,airplane,m1214
m1216,aircraft,airplane,m1216
m1218,aircraft,airplane,m1218
m1220,aircraft,airplane,m1220
m1222,aircraft,airplane,m1222
m1224,aircraft,airplane,m1224
m1226,aircraft,airplane,m1226
m1228,aircraft,airplane,m1228
m1230,aircraft,airplane,m1230
m1232,aircraft,airplane,m1232
m1234,aircraft,airplane,m1234
m1236,aircraft,airplane,m1236
m1238,aircraft,airplane,m1238
m1240,aircraft,airplane,m1240
m1242,aircraft,airplane,m1242
m1244,aircraft,airplane,m1244
m1246,aircraft,airplane,m1246
m1248,aircraft,airplane,m1248
m1250,aircraft,airplane,m1250
m1252,aircraft,airplane,m1252
m1254,aircraft,airplane,m1254
m1256,aircraft,airplane,m1256
m1258,aircraft,airplane,m1258
m1260,aircraft,airplane,m1260
m1262,aircraft,airplane,m1262
m1264,aircraft,airplane,m1264
m1266,aircraft,airplane,m1266
m1267,aircraft,airplane,m1267
m1268,aircraft,airplane,m1268
m1269,aircraft,airplane,m1269
m1270,aircraft,airplane,m1270
m1271,aircraft,airplane,m1271
m1272,aircraft,airplane,m1272
m1273,aircraft,airplane,m1273
m1274,aircraft,airplane,m1274
m1275,aircraft,airplane,m1275
m1276,aircraft,airplane,m1276
m1277,aircraft,airplane,m1277
m1278,aircraft,airplane,m1278
m1279,aircraft,airplane,m1279
m1280,aircraft,airplane,m1280
m1281,aircraft,airplane,m1281
m1282,aircraft,airplane,m1282
m1283,aircraft,airplane,m1283
m1284,aircraft,airplane,m1284
m1285,aircraft,airplane,m1285
m1293,aircraft,airplane,m1293
m1294,aircraft,airplane,m1294
m1295,aircraft,airplane,m1295
m1296,aircraft,airplane,m1296
m1297,aircraft,airplane,m1297
m1337,aircraft,balloon_vehicle,m1337
m1338,aircraft,balloon_vehicle,m1338
m1339,aircraft,balloon_vehicle,m1339
m1340,aircraft,balloon_vehicle,m1340
m1341,aircraft,balloon_vehicle,m1341
m1342,aircraft,balloon_vehicle,m1342
m1343,aircraft,balloon_vehicle,m1343
m1344,aircraft,balloon_vehicle,m1344
m1345,aircraft,balloon_vehicle,m1345
m1302,aircraft,helicopter,m1302
m1304,aircraft,helicopter,m1304
m1306,aircraft,helicopter,m1306
m1308,aircraft,helicopter,m1308
m1310,aircraft,helicopter,m1310
m1312,aircraft,helicopter,m1312
m1314,aircraft,helicopter,m1314
m1316,aircraft,helicopter,m1316
m1318,aircraft,helicopter,m1318
m1320,aircraft,helicopter,m1320
m1322,aircraft,helicopter,m1322
m1324,aircraft,helicopter,m1324
m1326,aircraft,helicopter,m1326
m1328,aircraft,helicopter,m1328
m1330,aircraft,helicopter,m1330
m1332,aircraft,helicopter,m1332
m1334,aircraft,helicopter,m1334
m1336,aircraft,helicopter,m1336
m1354,aircraft,spaceship,m1354
m1356,aircraft,spaceship,m1356
m1358,aircraft,spaceship,m1358
m1360,aircraft,spaceship,m1360
m1362,aircraft,spaceship,m1362
m1364,aircraft,spaceship,m1364
m1366,aircraft,spaceship,m1366
m1368,aircraft,spaceship,m1368
m1370,aircraft,spaceship,m1370
m1372,aircraft,spaceship,m1372
m1374,aircraft,spaceship,m1374
m1375,aircraft,spaceship,m1375
m1376,aircraft,spaceship,m1376
m1377,aircraft,spaceship,m1377
m1378,aircraft,spaceship,m1378
m1379,aircraft,spaceship,m1379
m1380,aircraft,spaceship,m1380
m1381,aircraft,spaceship,m1381
m1382,aircraft,spaceship,m1382
m1383,aircraft,spaceship,m1383
m1384,aircraft,spaceship,m1384
m1385,aircraft,spaceship,m1385
m1386,aircraft,spaceship,m1386
m1387,aircraft,spaceship,m1387
m1388,aircraft,spaceship,m1388
m1389,aircraft,spaceship,m1389
m1390,aircraft,spaceship,m1390
m1391,aircraft,spaceship,m1391
m1392,aircraft,spaceship,m1392
m1393,aircraft,spaceship,m1393
m1394,aircraft,spaceship,m1394
m1401,aircraft,spaceship,m1401
m1402,aircraft,spaceship,m1402
m1403,aircraft,spaceship,m1403
m1404,aircraft,spaceship,m1404
m1405,aircraft,spaceship,m1405
m0,animal,arthropod,m0
m1,animal,arthropod,m1
m2,animal,arthropod,m2
m3,animal,arthropod,m3
m4,animal,arthropod,m4
m9,animal,arthropod,m9
m10,animal,arthropod,m10
m11,animal,arthropod,m11
m12,animal,arthropod,m12
m13,animal,arthropod,m13
m14,animal,arthropod,m14
m15,animal,arthropod,m15
m118,animal,biped,m118
m120,animal,biped,m120
m122,animal,biped,m122
m124,animal,biped,m124
m126,animal,biped,m126
m128,animal,biped,m128
m130,animal,biped,m130
m132,animal,biped,m132
m134,animal,biped,m134
m136,animal,biped,m136
m138,animal,biped,m138
m140,animal,biped,m140
m142,animal,biped,m142
m144,animal,biped,m144
m146,animal,biped,m146
m148,animal,biped,m148
m150,animal,biped,m150
m152,animal,biped,m152
m154,animal,biped,m154
m156,animal,biped,m156
m158,animal,biped,m158
m160,animal,biped,m160
m162,animal,biped,m162
m164,animal,biped,m164
m166,animal,biped,m166
m168,animal,biped,m168
m170,animal,biped,m170
m172,animal,biped,m172
m174,animal,biped,m174
m176,animal,biped,m176
m178,animal,biped,m178
m180,animal,biped,m180
m182,animal,biped,m182
m184,animal,biped,m184
m186,animal,biped,m186
m188,animal,biped,m188
m190,animal,biped,m190
m192,animal,biped,m192
m194,animal,biped,m194
m196,animal,biped,m196
m198,animal,biped,m198
m200,animal,biped,m200
m202,animal,biped,m202
m204,animal,biped,m204
m206,animal,biped,m206
m208,animal,biped,m208
m210,animal,biped,m210
m212,animal,biped,m212
m214,animal,biped,m214
m216,animal,biped,m216
m219,animal,biped,m219
m221,animal,biped,m221
m223,animal,biped,m223
m225,animal,biped,m225
m227,animal,biped,m227
m229,animal,biped,m229
m231,animal,biped,m231
m233,animal,biped,m233
m235,animal,biped,m235
m237,animal,biped,m237
m239,animal,biped,m239
m241,animal,biped,m241
m243,animal,biped,m243
m245,animal,biped,m245
m247,animal,biped,m247
m249,animal,biped,m249
m251,animal,biped,m251
m253,animal,biped,m253
m255,animal,biped,m255
m257,animal,biped,m257
m259,animal,biped,m259
m260,animal,biped,m260
m261,animal,biped,m261
m262,animal,biped,m262
m263,animal,biped,m263
m264,animal,biped,m264
m265,animal,biped,m265
m266,animal,biped,m266
m34,animal,flying_creature,m34
m35,animal,flying_creature,m35
m36,animal,flying_creature,m36
m37,animal,flying_creature,m37
m38,animal,flying_creature,m38
m39,animal,flying_creature,m39
m40,animal,flying_creature,m40
m41,animal,flying_creature,m41
m42,animal,flying_creature,m42
m43,animal,flying_creature,m43
m44,animal,flying_creature,m44
m45,animal,flying_creature,m45
m46,animal,flying_creature,m46
m47,animal,flying_creature,m47
m27,animal,flying_creature,m27
m28,animal,flying_creature,m28
m29,animal,flying_creature,m29
m30,animal,flying_creature,m30
m31,animal,flying_creature,m31
m32,animal,flying_creature,m32
m33,animal,flying_creature,m33
m86,animal,quadruped,m86
m87,animal,quadruped,m87
m88,animal,quadruped,m88
m89,animal,quadruped,m89
m90,animal,quadruped,m90
m91,animal,quadruped,m91
m92,animal,quadruped,m92
m103,animal,quadruped,m103
m104,animal,quadruped,m104
m105,animal,quadruped,m105
m106,animal,quadruped,m106
m107,animal,quadruped,m107
m108,animal,quadruped,m108
m109,animal,quadruped,m109
m110,animal,quadruped,m110
m111,animal,quadruped,m111
m112,animal,quadruped,m112
m82,animal,snake,m82
m83,animal,snake,m83
m84,animal,snake,m84
m85,animal,snake,m85
m53,animal,underwater_creature,m53
m54,animal,underwater_creature,m54
m55,animal,underwater_creature,m55
m56,animal,underwater_creature,m56
m57,animal,underwater_creature,m57
m58,animal,underwater_creature,m58
m59,animal,underwater_creature,m59
m60,animal,underwater_creature,m60
m61,animal,underwater_creature,m61
m62,animal,underwater_creature,m62
m63,animal,underwater_creature,m63
m64,animal,underwater_creature,m64
m65,animal,underwater_creature,m65
m66,animal,underwater_creature,m66
m67,animal,underwater_creature,m67
m68,animal,underwater_creature,m68
m69,animal,underwater_creature,m69
m277,animal,underwater_creature,m277
m278,animal,underwater_creature,m278
m279,animal,underwater_creature,m279
m280,animal,underwater_creature,m280
m281,animal,underwater_creature,m281
m282,animal,underwater_creature,m282
m729,blade,axe,m729
m730,blade,axe,m730
m731,blade,axe,m731
m732,blade,axe,m732
m718,blade,knife,m718
m719,blade,knife,m719
m720,blade,knife,m720
m721,blade,knife,m721
m722,blade,knife,m722
m723,blade,knife,m723
m724,blade,knife,m724
m687,blade,sword,m687
m689,blade,sword,m689
m691,blade,sword,m691
m693,blade,sword,m693
m695,blade,sword,m695
m697,blade,sword,m697
m699,blade,sword,m699
m701,blade,sword,m701
m703,blade,sword,m703
m705,blade,sword,m705
m707,blade,sword,m707
m709,blade,sword,m709
m711,blade,sword,m711
m713,blade,sword,m713
m715,blade,sword,m715
m717,blade,sword,m717
m291,body_part,face,m291
m293,body_part,face,m293
m295,body_part,face,m295
m297,body_part,face,m297
m299,body_part,face,m299
m301,body_part,face,m301
m303,body_part,face,m303
m305,body_part,face,m305
m307,body_part,face,m307
m309,body_part,face,m309
m311,body_part,face,m311
m313,body_part,face,m313
m315,body_part,face,m315
m317,body_part,face,m317
m319,body_part,face,m319
m321,body_part,face,m321
m323,body_part,hand,m323
m324,body_part,hand,m324
m325,body_part,hand,m325
m326,body_part,hand,m326
m327,body_part,hand,m327
m328,body_part,hand,m328
m329,body_part,hand,m329
m330,body_part,hand,m330
m331,body_part,hand,m331
m332,body_part,hand,m332
m333,body_part,hand,m333
m334,body_part,hand,m334
m335,body_part,hand,m335
m336,body_part,hand,m336
m337,body_part,hand,m337
m338,body_part,hand,m338
m339,body_part,hand,m339
m340,body_part,head,m340
m342,body_part,head,m342
m344,body_part,head,m344
m346,body_part,head,m346
m348,body_part,head,m348
m350,body_part,head,m350
m352,body_part,head,m352
m354,body_part,head,m354
m356,body_part,head,m356
m358,body_part,head,m358
m360,body_part,head,m360
m362,body_part,head,m362
m364,body_part,head,m364
m366,body_part,head,m366
m368,body_part,head,m368
m370,body_part,head,m370
m376,body_part,skull,m376
m377,body_part,skull,m377
m378,body_part,skull,m378
m379,body_part,skull,m379
m380,body_part,skull,m380
m381,body_part,skull,m381
m1789,,book,m1789
m1790,,book,m1790
m1791,,book,m1791
m1792,,book,m1792
m458,building,barn,m458
m459,building,barn,m459
m460,building,barn,m460
m461,building,barn,m461
m462,building,barn,m462
m389,building,church,m389
m390,building,church,m390
m391,building,church,m391
m392,building,church,m392
m393,building,gazebo,m393
m394,building,gazebo,m394
m395,building,gazebo,m395
m396,building,gazebo,m396
m397,building,gazebo,m397
m423,building,one_story_home,m423
m424,building,one_story_home,m424
m425,building,one_story_home,m425
m426,building,one_story_home,m426
m427,building,one_story_home,m427
m428,building,one_story_home,m428
m429,building,one_story_home,m429
m430,building,one_story_home,m430
m431,building,one_story_home,m431
m432,building,one_story_home,m432
m433,building,one_story_home,m433
m434,building,one_story_home,m434
m435,building,one_story_home,m435
m436,building,one_story_home,m436
m463,building,skyscraper,m463
m464,building,skyscraper,m464
m465,building,skyscraper,m465
m466,building,skyscraper,m466
m467,building,skyscraper,m467
m473,building,tent,m473
m474,building,tent,m474
m475,building,tent,m475
m476,building,tent,m476
m438,building,two_story_home,m438
m440,building,two_story_home,m440
m442,building,two_story_home,m442
m444,building,two_story_home,m444
m446,building,two_story_home,m446
m448,building,two_story_home,m448
m450,building,two_story_home,m450
m452,building,two_story_home,m452
m454,building,two_story_home,m454
m456,building,two_story_home,m456
m1589,,chess_set,m1589
m1590,,chess_set,m1590
m1591,,chess_set,m1591
m1592,,chess_set,m1592
m1593,,chess_set,m1593
m1594,,chess_set,m1594
m1595,,chess_set,m1595
m1596,,chess_set,m1596
m1597,,chess_set,m1597
m1646,,city,m1646
m1648,,city,m1648
m1650,,city,m1650
m1652,,city,m1652
m1654,,city,m1654
m1656,,city,m1656
m1658,,city,m1658
m1660,,city,m1660
m1662,,city,m1662
m1664,,city,m1664
m1768,computer,desktop,m1768
m1769,computer,desktop,m1769
m1770,computer,desktop,m1770
m1771,computer,desktop,m1771
m1772,computer,desktop,m1772
m1773,computer,desktop,m1773
m1774,computer,desktop,m1774
m1775,computer,desktop,m1775
m1776,computer,desktop,m1776
m1777,computer,desktop,m1777
m1778,computer,desktop,m1778
m548,display_device,computer_monitor,m548
m549,display_device,computer_monitor,m549
m550,display_device,computer_monitor,m550
m551,display_device,computer_monitor,m551
m552,display_device,computer_monitor,m552
m553,display_device,computer_monitor,m553
m554,display_device,computer_monitor,m554
m555,display_device,computer_monitor,m555
m556,display_device,computer_monitor,m556
m557,display_device,computer_monitor,m557
m558,display_device,computer_monitor,m558
m559,display_device,computer_monitor,m559
m560,display_device,computer_monitor,m560
m1705,,door,m1705
m1706,,door,m1706
m1707,,door,m1707
m1708,,door,m1708
m1709,,door,m1709
m1710,,door,m1710
m1711,,door,m1711
m1712,,door,m1712
m1713,,door,m1713
m1714,,door,m1714
m1715,,door,m1715
m1716,,door,m1716
m1717,,door,m1717
m1718,,door,m1718
m1719,,door,m1719
m1720,,door,m1720
m1721,,door,m1721
m1722,,door,m1722
m580,,eyeglasses,m580
m581,,eyeglasses,m581
m582,,eyeglasses,m582
m583,,eyeglasses,m583
m584,,eyeglasses,m584
m585,,eyeglasses,m585
m586,,eyeglasses,m586
m1797,,fireplace,m1797
m1798,,fireplace,m1798
m1799,,fireplace,m1799
m1800,,fireplace,m1800
m1801,,fireplace,m1801
m1802,,fireplace,m1802
m952,furniture,cabinet,m952
m953,furniture,cabinet,m953
m954,furniture,cabinet,m954
m955,furniture,cabinet,m955
m956,furniture,cabinet,m956
m957,furniture,cabinet,m957
m958,furniture,cabinet,m958
m959,furniture,cabinet,m959
m960,furniture,cabinet,m960
m763,furniture,school_desk,m763
m764,furniture,school_desk,m764
m765,furniture,school_desk,m765
m766,furniture,school_desk,m766
m774,furniture,seat,m774
m775,furniture,seat,m775
m776,furniture,seat,m776
m777,furniture,seat,m777
m778,furniture,seat,m778
m779,furniture,seat,m779
m780,furniture,seat,m780
m781,furniture,seat,m781
m782,furniture,seat,m782
m783,furniture,seat,m783
m784,furniture,seat,m784
m808,furniture,seat,m808
m810,furniture,seat,m810
m812,furniture,seat,m812
m814,furniture,seat,m814
m816,furniture,seat,m816
m818,furniture,seat,m818
m820,furniture,seat,m820
m822,furniture,seat,m822
m824,furniture,seat,m824
m826,furniture,seat,m826
m828,furniture,seat,m828
m792,furniture,seat,m792
m793,furniture,seat,m793
m794,furniture,seat,m794
m795,furniture,seat,m795
m796,furniture,seat,m796
m797,furniture,seat,m797
m798,furniture,seat,m798
m799,furniture,seat,m799
m800,furniture,seat,m800
m801,furniture,seat,m801
m802,furniture,seat,m802
m803,furniture,seat,m803
m804,furniture,seat,m804
m805,furniture,seat,m805
m806,furniture,seat,m806
m844,furniture,shelves,m844
m846,furniture,shelves,m846
m848,furniture,shelves,m848
m850,furniture,shelves,m850
m852,furniture,shelves,m852
m854,furniture,shelves,m854
m856,furniture,shelves,m856
m858,furniture,shelves,m858
m860,furniture,shelves,m860
m862,furniture,shelves,m862
m864,furniture,shelves,m864
m866,furniture,shelves,m866
m868,furniture,shelves,m868
m871,furniture,table,m871
m873,furniture,table,m873
m875,furniture,table,m875
m877,furniture,table,m877
m879,furniture,table,m879
m881,furniture,table,m881
m883,furniture,table,m883
m885,furniture,table,m885
m887,furniture,table,m887
m889,furniture,table,m889
m891,furniture,table,m891
m893,furniture,table,m893
m895,furniture,table,m895
m897,furniture,table,m897
m899,furniture,table,m899
m901,furniture,table,m901
m903,furniture,table,m903
m905,furniture,table,m905
m907,furniture,table,m907
m909,furniture,table,m909
m911,furniture,table,m911
m913,furniture,table,m913
m915,furniture,table,m915
m917,furniture,table,m917
m919,furniture,table,m919
m933,furniture,table,m933
m934,furniture,table,m934
m935,furniture,table,m935
m936,furniture,table,m936
m937,furniture,table,m937
m938,furniture,table,m938
m1686,,geographic_map,m1686
m1687,,geographic_map,m1687
m1688,,geographic_map,m1688
m1689,,geographic_map,m1689
m1690,,geographic_map,m1690
m1691,,geographic_map,m1691
m1692,,geographic_map,m1692
m1693,,geographic_map,m1693
m1694,,geographic_map,m1694
m1695,,geographic_map,m1695
m1696,,geographic_map,m1696
m1697,,geographic_map,m1697
m648,gun,handgun,m648
m650,gun,handgun,m650
m652,gun,handgun,m652
m654,gun,handgun,m654
m656,gun,handgun,m656
m658,gun,handgun,m658
m660,gun,handgun,m660
m662,gun,handgun,m662
m664,gun,handgun,m664
m666,gun,handgun,m666
m1626,,hat,m1626
m1627,,hat,m1627
m1628,,hat,m1628
m1629,,hat,m1629
m1630,,hat,m1630
m1631,,hat,m1631
m592,,hourglass,m592
m593,,hourglass,m593
m594,,hourglass,m594
m595,,hourglass,m595
m596,,hourglass,m596
m597,,hourglass,m597
m1642,,ladder,m1642
m1643,,ladder,m1643
m1644,,ladder,m1644
m1645,,ladder,m1645
m617,lamp,streetlight,m617
m618,lamp,streetlight,m618
m619,lamp,streetlight,m619
m620,lamp,streetlight,m620
m621,lamp,streetlight,m621
m622,lamp,streetlight,m622
m623,lamp,streetlight,m623
m624,lamp,streetlight,m624
m494,liquid_container,glass_with_stem,m494
m495,liquid_container,glass_with_stem,m495
m496,liquid_container,glass_with_stem,m496
m497,liquid_container,glass_with_stem,m497
m498,liquid_container,glass_with_stem,m498
m499,liquid_container,glass_with_stem,m499
m500,liquid_container,glass_with_stem,m500
m501,liquid_container,glass_with_stem,m501
m502,liquid_container,glass_with_stem,m502
m510,liquid_container,pail,m510
m511,liquid_container,pail,m511
m512,liquid_container,pail,m512
m513,liquid_container,pail,m513
m527,liquid_container,vase,m527
m529,liquid_container,vase,m529
m531,liquid_container,vase,m531
m533,liquid_container,vase,m533
m535,liquid_container,vase,m535
m537,liquid_container,vase,m537
m539,liquid_container,vase,m539
m541,liquid_container,vase,m541
m543,liquid_container,vase,m543
m545,liquid_container,vase,m545
m547,liquid_container,vase,m547
m514,,mailbox,m514
m515,,mailbox,m515
m516,,mailbox,m516
m517,,mailbox,m517
m518,,mailbox,m518
m519,,mailbox,m519
m520,,mailbox,m520
m625,musical_instrument,guitar,m625
m626,musical_instrument,guitar,m626
m627,musical_instrument,guitar,m627
m628,musical_instrument,guitar,m628
m629,musical_instrument,guitar,m629
m630,musical_instrument,guitar,m630
m631,musical_instrument,guitar,m631
m632,musical_instrument,guitar,m632
m633,musical_instrument,guitar,m633
m634,musical_instrument,guitar,m634
m635,musical_instrument,guitar,m635
m636,musical_instrument,guitar,m636
m637,musical_instrument,guitar,m637
m1666,,newtonian_toy,m1666
m1667,,newtonian_toy,m1667
m1668,,newtonian_toy,m1668
m1669,,newtonian_toy,m1669
m961,plant,bush,m961
m962,plant,bush,m962
m963,plant,bush,m963
m964,plant,bush,m964
m965,plant,bush,m965
m966,plant,bush,m966
m967,plant,bush,m967
m968,plant,bush,m968
m969,plant,bush,m969
m970,plant,flowers,m970
m971,plant,flowers,m971
m972,plant,flowers,m972
m973,plant,flowers,m973
m989,plant,potted_plant,m989
m991,plant,potted_plant,m991
m993,plant,potted_plant,m993
m995,plant,potted_plant,m995
m997,plant,potted_plant,m997
m999,plant,potted_plant,m999
m1001,plant,potted_plant,m1001
m1003,plant,potted_plant,m1003
m1005,plant,potted_plant,m1005
m1007,plant,potted_plant,m1007
m1009,plant,potted_plant,m1009
m1011,plant,potted_plant,m1011
m1013,plant,potted_plant,m1013
m1015,plant,potted_plant,m1015
m1017,plant,potted_plant,m1017
m1019,plant,potted_plant,m1019
m1021,plant,potted_plant,m1021
m1023,plant,potted_plant,m1023
m1025,plant,potted_plant,m1025
m1027,plant,potted_plant,m1027
m1029,plant,potted_plant,m1029
m1031,plant,potted_plant,m1031
m1033,plant,potted_plant,m1033
m1035,plant,potted_plant,m1035
m1037,plant,potted_plant,m1037
m1039,plant,potted_plant,m1039
m1058,plant,tree,m1058
m1060,plant,tree,m1060
m1062,plant,tree,m1062
m1064,plant,tree,m1064
m1066,plant,tree,m1066
m1068,plant,tree,m1068
m1070,plant,tree,m1070
m1072,plant,tree,m1072
m1074,plant,tree,m1074
m1076,plant,tree,m1076
m1078,plant,tree,m1078
m1079,plant,tree,m1079
m1080,plant,tree,m1080
m1081,plant,tree,m1081
m1082,plant,tree,m1082
m1083,plant,tree,m1083
m1084,plant,tree,m1084
m1085,plant,tree,m1085
m1086,plant,tree,m1086
m1087,plant,tree,m1087
m1088,plant,tree,m1088
m1811,,satellite_dish,m1811
m1812,,satellite_dish,m1812
m1813,,satellite_dish,m1813
m1814,,satellite_dish,m1814
m1453,sea_vessel,sailboat,m1453
m1454,sea_vessel,sailboat,m1454
m1455,sea_vessel,sailboat,m1455
m1456,sea_vessel,sailboat,m1456
m1457,sea_vessel,sailboat,m1457
m1458,sea_vessel,sailboat,m1458
m1427,sea_vessel,ship,m1427
m1429,sea_vessel,ship,m1429
m1431,sea_vessel,ship,m1431
m1433,sea_vessel,ship,m1433
m1435,sea_vessel,ship,m1435
m1437,sea_vessel,ship,m1437
m1439,sea_vessel,ship,m1439
m1441,sea_vessel,ship,m1441
m1443,sea_vessel,ship,m1443
m1445,sea_vessel,ship,m1445
m1447,sea_vessel,ship,m1447
m1463,sea_vessel,submarine,m1463
m1464,sea_vessel,submarine,m1464
m1465,sea_vessel,submarine,m1465
m1466,sea_vessel,submarine,m1466
m1467,sea_vessel,submarine,m1467
m1468,sea_vessel,submarine,m1468
m1469,sea_vessel,submarine,m1469
m1470,sea_vessel,submarine,m1470
m1471,sea_vessel,submarine,m1471
m1682,sign,billboard,m1682
m1683,sign,billboard,m1683
m1684,sign,billboard,m1684
m1685,sign,billboard,m1685
m1807,,sink,m1807
m1808,,sink,m1808
m1809,,sink,m1809
m1810,,sink,m1810
m1803,,slot_machine,m1803
m1804,,slot_machine,m1804
m1805,,slot_machine,m1805
m1806,,slot_machine,m1806
m1733,,staircase,m1733
m1734,,staircase,m1734
m1735,,staircase,m1735
m1736,,staircase,m1736
m1737,,staircase,m1737
m1738,,staircase,m1738
m1739,,staircase,m1739
m1109,tool,hammer,m1109
m1110,tool,hammer,m1110
m1111,tool,hammer,m1111
m1112,tool,hammer,m1112
m1099,tool,shovel,m1099
m1100,tool,shovel,m1100
m1101,tool,shovel,m1101
m1102,tool,shovel,m1102
m1103,tool,shovel,m1103
m1104,tool,shovel,m1104
m1748,,umbrella,m1748
m1749,,umbrella,m1749
m1750,,umbrella,m1750
m1751,,umbrella,m1751
m1752,,umbrella,m1752
m1753,,umbrella,m1753
m1502,vehicle,car,m1502
m1503,vehicle,car,m1503
m1504,vehicle,car,m1504
m1505,vehicle,car,m1505
m1506,vehicle,car,m1506
m1507,vehicle,car,m1507
m1508,vehicle,car,m1508
m1509,vehicle,car,m1509
m1510,vehicle,car,m1510
m1511,vehicle,car,m1511
m1512,vehicle,car,m1512
m1513,vehicle,car,m1513
m1514,vehicle,car,m1514
m1515,vehicle,car,m1515
m1517,vehicle,car,m1517
m1519,vehicle,car,m1519
m1521,vehicle,car,m1521
m1523,vehicle,car,m1523
m1525,vehicle,car,m1525
m1527,vehicle,car,m1527
m1529,vehicle,car,m1529
m1531,vehicle,car,m1531
m1533,vehicle,car,m1533
m1535,vehicle,car,m1535
m1565,vehicle,covered_wagon,m1565
m1566,vehicle,covered_wagon,m1566
m1567,vehicle,covered_wagon,m1567
m1568,vehicle,covered_wagon,m1568
m1569,vehicle,covered_wagon,m1569
m1479,vehicle,cycle,m1479
m1480,vehicle,cycle,m1480
m1481,vehicle,cycle,m1481
m1482,vehicle,cycle,m1482
m1483,vehicle,cycle,m1483
m1484,vehicle,cycle,m1484
m1560,vehicle,monster_truck,m1560
m1561,vehicle,monster_truck,m1561
m1562,vehicle,monster_truck,m1562
m1563,vehicle,monster_truck,m1563
m1564,vehicle,monster_truck,m1564
m1570,vehicle,semi,m1570
m1571,vehicle,semi,m1571
m1572,vehicle,semi,m1572
m1573,vehicle,semi,m1573
m1574,vehicle,semi,m1574
m1575,vehicle,semi,m1575
m1576,vehicle,semi,m1576
m1489,vehicle,suv,m1489
m1490,vehicle,suv,m1490
m1491,vehicle,suv,m1491
m1492,vehicle,suv,m1492
m1493,vehicle,suv,m1493
m1584,vehicle,train,m1584
m1585,vehicle,train,m1585
m1586,vehicle,train,m1586
m1587,vehicle,train,m1587
m1588,vehicle,train,m1588
m733,,wheel,m733
m734,,wheel,m734
m735,,wheel,m735
m736,,wheel,m736
m741,wheel,gear,m741
m742,wheel,gear,m742
m743,wheel,gear,m743
m744,wheel,gear,m744
m745,wheel,gear,m745
m746,wheel,gear,m746
m747,wheel,gear,m747
m748,wheel,gear,m748
m749,wheel,gear,m749
